wdid,name,wdLabel,source,sourceDate,pid,position,psid
Q10279146,Fabio Faria,Fabio Faria,,,Q96240294,Minister of Communications of Brazil,Q10279146-ed62f5f3-4655-ee28-2342-53701ad78509
Q10304982,Jair Bolsonaro,Jair Bolsonaro,,,Q5176750,President of Brazil,Q10304982-aa9dba23-4aca-8e9b-fc97-269d7d5f969b
Q10341050,Onyx Lorenzoni,Onyx Lorenzoni,https://en.wikipedia.org/wiki/Onyx_Lorenzoni,2021-12-04,Q52334511,Minister of Labour and Social Security,Q10341050-553060A1-D397-4DE5-A53D-B7C7353A3D0A
Q10380562,Tereza Cristina Corrêa da Costa Dias,Tereza Cristina Corrêa da Costa Dias,,,Q18176428,minister of Agriculture,Q10380562-6c641b10-497d-0bcf-c461-d96256293a87
Q105969706,Marcelo Queiroga,Marcelo Queiroga,https://en.wikipedia.org/wiki/Marcelo_Queiroga,2021-12-04,Q59346265,Minister of Health,Q105969706-E1A9D08B-FC99-4C28-BB17-5AB5D5BDCBAC
Q106271551,Carlos Alberto Franco França,Carlos Alberto Franco França,https://en.wikipedia.org/wiki/Carlos_Alberto_França,2021-12-04,Q18176431,Minister of Foreign Affairs,Q106271551-A498BDC4-570F-4D44-8D75-1F04A386DCDC
Q106290142,Anderson Torres,Anderson Torres,https://en.wikipedia.org/wiki/Anderson_Torres,2021-11-04,Q18176440,Minister of Justice and Public Security,Q106290142-B39F9591-97D9-4A5E-8730-700B923EFED6
Q107348193,Joaquim Alvaro Pereira Leite,Joaquim Alvaro Pereira Leite,https://en.wikipedia.org/wiki/Joaquim_Alvaro_Pereira_Leite,2021-12-04,Q16141555,Minister of the Environment,Q107348193-B1315318-1E18-4E54-A586-2A8E1444ECCA
Q107972708,Bruno Bianco,Bruno Bianco,https://en.wikipedia.org/wiki/Bruno_Bianco,2021-12-04,Q12276986,Attorney General of the Union,Q107972708-E8FE655E-DF7A-4142-8CC9-1B679C890CF8
Q317643,Marcos Pontes,Marcos Pontes,,,Q59346256,"Minister of Science, Technology, Innovations and Communications",Q317643-9fc7bc0e-4bf6-b2c0-9c1b-884f929b3a83
Q49323012,Walter Souza Braga Netto,Walter Souza Braga Netto,https://en.wikipedia.org/wiki/Walter_Souza_Braga_Netto,2021-12-04,Q59346258,Minister of Defence,Q49323012-9DDD6EE2-FCA0-4035-AE22-9808A4633BEF
Q52871852,Hamilton Mourão,Hamilton Mourão,,,Q2978540,Vice President of the Federative Republic of Brazil,Q52871852-bfc192a2-b3c7-4a9e-a587-f8bfdb819c05
Q56347746,Paulo Roberto Nunes Guedes,Paulo Roberto Nunes Guedes,https://en.wikipedia.org/wiki/Paulo_Guedes,2021-12-04,Q105527854,Minister of the Economy,Q56347746-70ABDA16-E6BD-4E31-A0EE-68D14C3C4C44
Q59204311,João Roma,João Roma,https://en.wikipedia.org/wiki/João_Roma,2021-12-04,Q96239481,Minister of Citizenship,Q59204311-737BF166-7A1B-4E41-AF1B-818AB30520DF
Q59308525,Bento Albuquerque,Bento Albuquerque,https://en.wikipedia.org/wiki/Bento_Costa_Lima,2021-12-04,Q59346269,Minister of Mines and Energy,Q59308525-6B956405-9A39-4ACC-94F5-A42D4F0D2730
Q59577903,Damares Alves,Damares Alves,,,Q96239851,"Minister of Women, Family and Human Rights",Q59577903-79572c9c-41b4-a0b2-5dc9-545075afadd3
Q60392579,Tarcísio Gomes de Freitas,Tarcísio Gomes de Freitas,https://en.wikipedia.org/wiki/Tarcísio_Gomes_de_Freitas,2021-12-04,Q109920325,Minister of Infrastructure,Q60392579-01670831-1D02-437C-85CD-87B75573D35B
Q60961728,Flávia Arruda,Flávia Arruda,https://en.wikipedia.org/wiki/Flávia_Arruda,2021-12-04,Q25420289,Secretary of Government,Q60961728-38B1A34B-842B-48F7-AE55-96CF3E291BB1
Q64682549,Luiz Eduardo Ramos,Luiz Eduardo Ramos,https://en.wikipedia.org/wiki/Luiz_Eduardo_Ramos,2021-12-04,Q98609740,Secretary-General of the Presidency,Q64682549-AA9425DE-600C-45F9-8794-D0C9C54063E7
Q94787924,Eduardo Pazuello,Eduardo Pazuello,https://en.wikipedia.org/wiki/Eduardo_Pazuello,2021-12-04,Q109920210,Secretary of Strategic Affairs of the Presidency,Q94787924-C665328C-5C8F-4B0E-9C3C-247B81E3F7CC
Q97161166,Milton Ribeiro,Milton Ribeiro,https://en.wikipedia.org/wiki/Milton_Ribeiro,2021-12-04,Q59346259,Minister of Education,Q97161166-86AC6CFB-C798-4E23-99FA-2C9DCDB368DA
